"MEASURE - Percentage of Gross Domestic Product"
"FLOW - Sum of imports and exports"
"SERIES - Total trade in goods and services"

YEAR,"1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"ECONOMY",
"          Afghanistan",45.5388781124,51.2563583387,50.199416495,53.5382453957,66.1221781303,52.4970649085,55.6044089859,56.6268399703,51.6158092074,29.5434145018,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",112.2562168453,101.770875484,92.06170027420001,96.93605106600001,"-"
"          Albania",33.7766414484,36.2744513354,35.2539954438,31.7740401728,29.978220492,28.2582859375,26.7210706653,27.1565662987,30.7058322994,30.1197041276,37.7450317966,23.9448434795,45.7496415354,54.0486309125,48.950446962,45.9830718299,44.7766449002,44.3614715121,45.478707539,48.0450434234,60.5232955876,64.3060145421,67.3146390948,65.89164256399999,66.4630735114,69.63683938059999,75.5866970733,83.4403923566,85.6378076539,83.0045247134,86.45730978420001,92.1814022783,87.17534782920001,89.2386635232
"          Algeria",62.4342939539,61.7618434302,58.8478325756,51.9836601548,47.6107657829,43.02062536,29.3800626852,27.3966612334,27.4082085888,35.3968623825,38.0802662159,44.4566367787,45.0865133131,40.4420547455,48.6961596995,54.794443361,53.704455175,52.2447907682,45.094563614,50.4927237309,62.5474549236,57.8458764071,60.7818559024,62.3012089455,65.50734018040001,71.2037502199,70.52439802719999,71.4661390425,76.51190170629999,70.5560312293,68.81229301090001,68.45397132150001,66.52031418590001,65.5108325243
"          American Samoa","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..",".."
"          Andorra","..","..","..","..","..","..","..","..","..","..","..","..","..","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"          Angola","-","-","-","-","-",65.13792405060001,48.6576278397,55.814548944,63.9958554498,60.9054119183,71.65181431009999,55.9430387831,57.291083002,59.5550268518,59.33681109,147.2694979682,150.5777972521,135.2932712583,130.0109483841,180.8914815025,157.2161431636,141.837431925,136.6091733665,132.6322610747,123.5499191425,120.1757002959,"-",117.4738077732,127.5448961601,110.3162487516,105.2841050397,107.5155908869,101.2031798095,95.04942621159999
"          Anguilla","-","-","-","-","-","-","-","-","-","-",111.6568845505,112.9224682454,120.3328015803,124.5100455144,123.2972065198,126.5985106205,127.0294064854,122.7053294063,132.5561549727,129.3043779168,128.7758183652,117.4653234725,108.0830233467,110.2097553766,110.0694094492,124.059889015,151.3162747844,130.659590585,128.3773597579,125.8123466002,117.0787712501,109.7345711755,112.6186747028,109.3488545043
"          Antigua and Barbuda",159.8155742934,149.0559452709,134.7430571409,105.6970051649,149.6144986074,145.7944165427,156.6276224352,164.791754372,143.387924159,145.0170329554,153.0800596895,153.0265367673,158.2278211183,155.7803446946,145.333014178,144.2761452007,136.2498476863,134.6714642183,130.6208765654,130.2681532591,127.3232723415,124.5120666455,116.0731412781,122.8262457746,125.3747759411,123.1224074032,120.388555986,117.4032109268,116.2962987915,105.1134869322,105.9200916042,104.8056859245,99.2680838255,97.9366208335
"          Argentina",30.5621703308,29.0891548661,20.0278924776,17.9971518843,17.4234524217,17.8693597889,14.503311507,14.7623098144,14.7710341877,24.0415456762,15.3134150948,13.6798882361,15.1761581213,16.2059209992,18.1193273795,19.7807079958,21.5556081134,23.4013311872,23.4428552995,21.4902902064,22.6431670252,21.8790476277,41.7228346214,41.1015863366,44.2724094254,44.7320063834,44.6547378251,45.6252197072,45.7306591925,37.5842147793,40.6353173859,42.0924345703,37.7468719152,38.8004261071
